"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal)";"Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km)";"Gezondheid en welzijn/Afstand tot apotheek (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 5 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 10 km (aantal)";"Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Aantal ziekenhuizen/Binnen 20 km (aantal)";"Gezondheid en welzijn/Afstand tot consultatiebureau (km)";"Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 1 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 3 km (aantal)";"Gezondheid en welzijn/Fysiotherapeut/Aantal fysiotherapeuten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal grote supermarkten/Binnen 5 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 1 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 3 km (aantal)";"Detailhandel/Winkels dagelijkse boodschappen/Aantal overige dagelijkse levensmiddelen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Afstand tot warenhuis (km)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 5 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 10 km (aantal)";"Detailhandel/Warenhuis/Aantal warenhuizen/Binnen 20 km (aantal)";"Horeca/Cafés en dergelijke/Afstand tot café e.d. (km)";"Horeca/Cafés en dergelijke/Aantal cafés/Binnen 1 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés/Binnen 3 km (aantal)";"Horeca/Cafés en dergelijke/Aantal cafés/Binnen 5 km (aantal)";"Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 1 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 3 km (aantal)";"Horeca/Cafetaria's en dergelijke/Aantal cafetaria's e.d./Binnen 5 km (aantal)";"Horeca/Restaurants/Afstand tot restaurant (km)";"Horeca/Restaurants/Aantal restaurants/Binnen 1 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 3 km (aantal)";"Horeca/Restaurants/Aantal restaurants/Binnen 5 km (aantal)";"Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 5 km (aantal)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 10 km (aantal)";"Horeca/Hotels en dergelijke/Aantal hotels e.d./Binnen 20 km (aantal)";"Kinderopvang/Kinderdagverblijf/Afstand tot kinderdagverblijf (km)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 1 km (aantal)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 3 km (aantal)";"Kinderopvang/Kinderdagverblijf/Aantal kinderdagverblijven/Binnen 5 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Afstand tot buitenschoolse opvang (km)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 1 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 3 km (aantal)";"Kinderopvang/Buitenschoolse opvang/Aantal buitenschoolse opvang/Binnen 5 km (aantal)";"Onderwijs/Basisonderwijs/Afstand tot school (km)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 1 km (aantal)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Basisonderwijs/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Voortgezet onderwijs totaal/Aantal scholen/Binnen 10 km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 3  km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 5  km (aantal)";"Onderwijs/Voortgezet onderwijs/Vmbo/Aantal scholen/Binnen 10  km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Afstand tot school (km)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 3 km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 5 km (aantal)";"Onderwijs/Voortgezet onderwijs/Havo/vwo/Aantal scholen/Binnen 10 km (aantal)";"Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot bos (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km)";"Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km)";"Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km)";"Groenvoorzieningen/Afstand tot recreatief binnenwater (km)";"Verkeer en vervoer/Afstand tot oprit hoofdverkeersweg (km)";"Verkeer en vervoer/Treinstations/Afstand tot treinstations totaal (km)";"Verkeer en vervoer/Treinstations/Afstand tot belangrijk overstapstation (km)";"Vrije tijd en cultuur/Afstand tot bibliotheek (km)";"Vrije tijd en cultuur/Sport/Afstand tot zwembad (km)";"Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km)";"Vrije tijd en cultuur/Museum/Afstand tot museum (km)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Museum/Aantal musea/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km)";"Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 5 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Bioscoop/Aantal bioscopen/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km)";"Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 10 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 20 km (aantal)";"Vrije tijd en cultuur/Recreatie/Aantal attracties/Binnen 50 km (aantal)";"Afstand tot brandweerkazerne (km)"
"Nederland";"Nederland                               ";"Land      ";"NL00      ";".";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.0";"     1.8";"    11.0";"    23.8";"     0.8";"     7.0";"    47.9";"   104.2";"       .";"       .";"       .";"       .";"     1.4";"     2.8";"    22.9";"    49.6";"     0.9";"     4.2";"    33.5";"    73.3";"     0.8";"     8.0";"    66.0";"   145.3";"       .";"       .";"       .";"       .";"     0.7";"     2.8";"    19.1";"    43.5";"     0.8";"     2.2";"    14.2";"    32.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.0";"     3.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     6.5";"     1.3";"     2.9";"     7.3";"     8.4";"     4.2";"       .";"       .";"       .";"       .";"       ."
"Utrecht";"Utrecht                                 ";"Gemeente  ";"GM0344    ";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.7";"     2.7";"    23.3";"    54.3";"     0.6";"     9.3";"    85.4";"   196.4";"       .";"       .";"       .";"       .";"     1.1";"     3.3";"    36.6";"    77.2";"     0.6";"     7.4";"    76.5";"   170.1";"     0.5";"    14.8";"   162.1";"   353.1";"       .";"       .";"       .";"       .";"     0.5";"     4.8";"    41.4";"   102.4";"     0.6";"     3.4";"    30.1";"    77.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.4";"     2.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.3";"     4.7";"     8.0";"    12.0";"     4.1";"     1.5";"       .";"       .";"       .";"       .";"       ."
"Wijk 01 West";"Utrecht                                 ";"Wijk      ";"WK034401  ";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.6";"     2.9";"    34.5";"    79.0";"     0.5";"    15.7";"   127.9";"   277.1";"       .";"       .";"       .";"       .";"     0.8";"     1.6";"    57.6";"   106.5";"     0.4";"     7.3";"   122.6";"   242.3";"     0.3";"    15.5";"   261.5";"   491.4";"       .";"       .";"       .";"       .";"     0.4";"     5.4";"    49.1";"   148.2";"     0.5";"     5.1";"    32.5";"   104.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.4";"     3.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.4";"     7.0";"     8.0";"    12.9";"     3.5";"     1.4";"       .";"       .";"       .";"       .";"       ."
"Welgelegen, Den Hommel";"Utrecht                                 ";"Buurt     ";"BU03440111";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.9";"     0.9";"    26.8";"    68.9";"     0.9";"     3.6";"    90.1";"   249.1";"       .";"       .";"       .";"       .";"     1.9";"     0.0";"    22.3";"   106.7";"     0.8";"     2.4";"    77.1";"   231.1";"     0.3";"     3.7";"   143.8";"   474.5";"       .";"       .";"       .";"       .";"     0.7";"     2.3";"    35.4";"   134.8";"     0.7";"     3.9";"    28.0";"    95.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.9";"     1.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.5";"     7.0";"     8.0";"    12.7";"     4.1";"     2.5";"       .";"       .";"       .";"       .";"       ."
"Oog in Al";"Utrecht                                 ";"Buurt     ";"BU03440112";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.4";"     1.1";"    24.8";"    75.5";"     0.4";"     5.5";"    83.7";"   260.2";"       .";"       .";"       .";"       .";"     1.2";"     0.6";"    14.4";"   105.2";"     0.3";"     3.4";"    63.0";"   235.7";"     0.3";"     6.2";"   106.7";"   479.0";"       .";"       .";"       .";"       .";"     0.3";"     5.7";"    36.2";"   135.8";"     0.2";"     8.6";"    26.4";"    93.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.4";"     2.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.9";"     7.0";"     8.0";"    12.5";"     4.3";"     2.3";"       .";"       .";"       .";"       .";"       ."
"Halve Maan-Zuid";"Utrecht                                 ";"Buurt     ";"BU03440113";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.5";"     1.0";"    21.2";"    73.6";"     0.5";"     5.2";"    72.9";"   252.4";"       .";"       .";"       .";"       .";"     1.4";"     0.0";"    10.3";"   104.9";"     0.5";"     2.9";"    52.2";"   233.1";"     0.5";"     3.9";"    78.6";"   472.8";"       .";"       .";"       .";"       .";"     0.4";"     4.1";"    31.7";"   130.1";"     0.4";"     7.1";"    23.5";"    89.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.8";"     2.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.1";"     7.0";"     8.0";"    12.2";"     4.5";"     2.4";"       .";"       .";"       .";"       .";"       ."
"Halve Maan-Noord";"Utrecht                                 ";"Buurt     ";"BU03440114";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.7";"     1.0";"    26.2";"    76.8";"     0.6";"     5.7";"    92.3";"   260.4";"       .";"       .";"       .";"       .";"     0.9";"     1.5";"    16.8";"   105.0";"     0.2";"     4.1";"    71.4";"   233.5";"     0.2";"     5.3";"   116.9";"   476.9";"       .";"       .";"       .";"       .";"     0.3";"     4.2";"    40.9";"   136.5";"     0.3";"     7.4";"    27.1";"    91.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.8";"     2.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     3.0";"     6.9";"     8.0";"    13.0";"     4.3";"     2.0";"       .";"       .";"       .";"       .";"       ."
"Lombok-Oost";"Utrecht                                 ";"Buurt     ";"BU03440121";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.3";"     6.3";"    47.7";"    84.0";"     0.2";"    38.3";"   183.2";"   295.7";"       .";"       .";"       .";"       .";"     0.3";"     2.5";"    98.6";"   108.3";"     0.2";"    18.6";"   179.8";"   249.8";"     0.1";"    34.4";"   408.1";"   506.4";"       .";"       .";"       .";"       .";"     0.4";"     7.6";"    69.1";"   160.8";"     0.4";"     4.5";"    44.3";"   115.4";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.5";"     3.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.6";"     7.0";"     8.0";"    13.0";"     2.5";"     0.7";"       .";"       .";"       .";"       .";"       ."
"Leidseweg en omgeving";"Utrecht                                 ";"Buurt     ";"BU03440122";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.6";"     2.9";"    45.5";"    79.2";"     0.8";"    13.4";"   166.3";"   284.4";"       .";"       .";"       .";"       .";"     1.0";"     0.4";"    92.4";"   109.1";"     0.6";"     6.5";"   165.6";"   249.1";"     0.6";"    10.7";"   372.8";"   501.6";"       .";"       .";"       .";"       .";"     0.5";"     5.2";"    57.8";"   148.1";"     1.0";"     1.4";"    39.5";"   108.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.3";"     2.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.7";"     7.0";"     8.0";"    13.0";"     3.0";"     1.4";"       .";"       .";"       .";"       .";"       ."
"Lombok-West";"Utrecht                                 ";"Buurt     ";"BU03440123";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.3";"     5.9";"    43.3";"    82.1";"     0.3";"    33.7";"   164.0";"   289.7";"       .";"       .";"       .";"       .";"     0.5";"     2.0";"    90.6";"   108.5";"     0.2";"    12.9";"   165.4";"   249.1";"     0.2";"    26.0";"   374.8";"   504.2";"       .";"       .";"       .";"       .";"     0.3";"     8.4";"    57.9";"   157.5";"     0.3";"     4.7";"    38.5";"   112.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.7";"     3.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.0";"     7.0";"     8.0";"    13.0";"     2.9";"     0.8";"       .";"       .";"       .";"       .";"       ."
"Laan van Nieuw-Guinea, Spinozaweg e.o.";"Utrecht                                 ";"Buurt     ";"BU03440124";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.5";"     3.2";"    37.3";"    82.3";"     0.3";"    11.6";"   137.5";"   290.5";"       .";"       .";"       .";"       .";"     0.3";"     3.2";"    65.1";"   106.9";"     0.3";"     7.3";"   142.7";"   249.1";"     0.2";"    19.1";"   298.6";"   501.6";"       .";"       .";"       .";"       .";"     0.4";"     5.2";"    54.4";"   157.9";"     0.6";"     5.3";"    34.5";"   110.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.4";"     3.3";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.5";"     7.0";"     8.0";"    13.0";"     3.5";"     1.2";"       .";"       .";"       .";"       .";"       ."
"Nieuw Engeland, Th. a. Kempisplantsoen e";"Utrecht                                 ";"Buurt     ";"BU03440131";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.8";"     2.3";"    36.2";"    81.8";"     0.5";"    16.1";"   140.2";"   288.5";"       .";"       .";"       .";"       .";"     0.9";"     1.6";"    78.1";"   107.8";"     0.5";"     6.4";"   145.5";"   247.9";"     0.4";"    17.8";"   333.3";"   501.4";"       .";"       .";"       .";"       .";"     0.4";"     4.9";"    49.9";"   155.0";"     0.4";"     4.3";"    31.5";"   108.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.0";"     3.5";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.3";"     7.0";"     8.0";"    13.0";"     3.2";"     0.7";"       .";"       .";"       .";"       .";"       ."
"Schepenbuurt, Cartesiusweg e.o.";"Utrecht                                 ";"Buurt     ";"BU03440132";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.4";"     0.0";"    24.3";"    76.6";"     1.2";"     0.2";"    94.8";"   265.6";"       .";"       .";"       .";"       .";"     0.8";"     2.4";"    19.3";"   105.1";"     1.1";"     0.5";"    75.9";"   231.0";"     1.0";"     1.1";"   135.7";"   478.3";"       .";"       .";"       .";"       .";"     1.0";"     0.6";"    48.6";"   137.7";"     1.4";"     0.0";"    28.2";"    94.6";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.0";"     3.0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.6";"     6.8";"     8.0";"    13.0";"     3.6";"     1.9";"       .";"       .";"       .";"       .";"       ."
"Bedrijventerrein Lageweide";"Utrecht                                 ";"Buurt     ";"BU03440133";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.7";"     0.0";"     4.7";"    23.2";"     1.7";"     0.0";"    12.5";"    73.1";"       .";"       .";"       .";"       .";"     2.1";"     0.0";"     1.8";"    18.6";"     0.8";"     1.0";"    11.2";"    58.9";"     0.6";"     0.9";"    21.3";"   117.9";"       .";"       .";"       .";"       .";"     2.1";"     0.0";"     6.6";"    45.1";"     2.3";"     0.0";"     6.3";"    51.7";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.6";"     3.1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     4.5";"     1.3";"     8.0";"    11.1";"     6.9";"     2.7";"       .";"       .";"       .";"       .";"       ."
"Wijk 02 Noordwest";"Utrecht                                 ";"Wijk      ";"WK034402  ";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.5";"     4.2";"    32.8";"    68.6";"     0.3";"    11.6";"   118.4";"   257.1";"       .";"       .";"       .";"       .";"     0.6";"     3.6";"    50.4";"    98.5";"     0.3";"    11.4";"   108.3";"   218.5";"     0.3";"    19.1";"   217.9";"   454.6";"       .";"       .";"       .";"       .";"     0.4";"     7.4";"    52.3";"   123.5";"     0.5";"     2.5";"    25.7";"    83.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.1";"     2.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     2.6";"     6.2";"     8.0";"    13.0";"     2.7";"     1.1";"       .";"       .";"       .";"       .";"       ."
"Pijlsweerd-Zuid";"Utrecht                                 ";"Buurt     ";"BU03440211";"1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.3";"     7.8";"    51.4";"    78.3";"     0.2";"    21.6";"   206.2";"   289.9";"       .";"       .";"       .";"       .";"     0.3";"    16.2";"    99.7";"   108.1";"     0.3";"    21.4";"   192.3";"   248.5";"     0.2";"    63.8";"   427.5";"   496.8";"       .";"       .";"       .";"       .";"     0.4";"     6.0";"    82.1";"   149.7";"     0.4";"     3.2";"    49.6";"   104.2";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     1.1";"     2.8";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     0.9";"     7.0";"     8.0";"    13.0";"     2.1";"     1.0";"       .";"       .";"       .";"       .";"       ."
